id,sleep,eating,cleanliness,sociability,sharing
U001,1,0,2,0,0
U002,0,3,1,1,1
U003,0,1,5,2,1
U004,0,2,3,1,0
U005,2,2,4,1,1
U006,1,3,5,2,1
U007,1,2,3,1,2
U008,0,0,5,1,2
U009,1,2,3,2,1
U010,0,1,5,0,1
U011,1,1,5,2,2
U012,2,3,4,2,2
U013,0,1,2,0,0
U014,0,1,4,0,1
U015,0,0,1,1,1
U016,2,0,1,1,1
U017,0,1,4,2,1
U018,2,3,3,2,2
U019,2,1,3,2,1
U020,2,3,3,2,2
U021,2,3,2,0,0
U022,1,0,5,0,1
U023,1,0,4,0,2
U024,0,3,1,1,1
U025,1,1,4,0,2
U026,0,0,4,1,1
U027,2,0,5,2,2
U028,2,0,2,0,0
U029,0,1,4,1,1
U030,1,2,3,1,0
U031,2,1,4,1,1
U032,1,2,2,1,1
U033,2,3,5,2,2
U034,2,0,5,2,2
U035,2,3,1,2,1
U036,0,2,2,0,1
U037,2,2,1,2,0
U038,0,2,4,0,0
U039,0,2,3,0,0
U040,0,3,4,2,2
U041,1,1,4,0,0
U042,1,2,3,1,1
U043,0,1,4,1,0
U044,2,1,4,2,2
U045,1,1,5,1,0
U046,1,3,5,1,1
U047,2,2,3,1,1
U048,1,1,4,0,0
U049,2,3,5,2,2
U050,1,1,5,2,2
U051,0,2,2,0,0
U052,0,0,4,0,0
U053,1,0,3,0,1
U054,0,0,5,0,1
U055,2,1,5,2,2
U056,2,1,4,2,1
U057,1,2,1,0,1
U058,2,3,3,1,2
U059,0,1,4,0,1
U060,0,0,5,2,2
U061,1,2,4,2,2
U062,1,0,5,1,0
U063,0,1,1,0,0
U064,0,2,4,1,1
U065,0,2,4,0,2
U066,2,2,5,2,2
U067,2,3,5,1,2
U068,2,3,1,1,0
U069,2,2,3,2,2
U070,2,3,2,1,0
U071,2,3,2,1,1
U072,2,2,1,2,2
U073,2,1,5,1,1
U074,0,1,4,0,1
U075,2,2,1,2,1
U076,0,1,5,0,1
U077,2,3,3,2,2
U078,2,0,4,2,2
U079,0,3,4,1,0
U080,2,3,3,2,0
U081,1,0,1,0,1
U082,1,1,4,1,2
U083,0,0,5,2,2
U084,1,0,4,1,1
U085,2,1,3,2,2
U086,2,3,1,2,2
U087,1,2,3,1,0
U088,2,3,5,2,1
U089,2,3,5,2,1
U090,0,0,2,0,1
U091,1,3,3,1,2
U092,2,1,4,1,0
U093,0,1,4,1,0
U094,0,2,4,2,2
U095,2,3,3,2,1
U096,0,0,5,0,0
U097,1,1,4,2,1
U098,2,2,2,2,1
U099,0,1,4,2,2
U100,1,2,1,0,0
